"analysis","replicate","beta_poct","beta_lab","delta_beta"
"parsimonious_cox",1,-0.235764422828349,-0.0267376068982017,-0.209026815930147
"parsimonious_cox",2,-0.321825076879715,-0.0473198276656224,-0.274505249214093
"parsimonious_cox",3,-0.033862729902136,-0.0200737283373994,-0.0137890015647367
"parsimonious_cox",4,-0.288056451955974,-0.048595315337696,-0.239461136618278
"parsimonious_cox",5,-0.0721943635275556,0.0172613492147827,-0.0894557127423383
"parsimonious_cox",6,-0.392238631708291,-0.0120611604944949,-0.380177471213796
"parsimonious_cox",7,-0.318174634093924,-0.0125675230107899,-0.305607111083135
"parsimonious_cox",8,-0.093802021428551,-0.0479040661036765,-0.0458979553248745
"parsimonious_cox",9,0.000753352376890889,0.0815209383147787,-0.0807675859378878
"parsimonious_cox",10,-0.195469288629476,-0.0736728451927747,-0.121796443436701
"parsimonious_cox",11,-0.162366666900619,-0.0192587233973985,-0.14310794350322
"parsimonious_cox",12,-0.248815742916858,-0.0200879122586894,-0.228727830658169
"parsimonious_cox",13,-0.462908489110748,0.0391804636462505,-0.502088952756999
"parsimonious_cox",14,-0.250922627077275,0.00570647464762972,-0.256629101724905
"parsimonious_cox",15,-0.201301510216337,-0.00315347556441497,-0.198148034651922
"parsimonious_cox",16,-0.215606435821901,-0.0821421343568027,-0.133464301465098
"parsimonious_cox",17,-0.274614901623918,-0.0625733460028429,-0.212041555621075
"parsimonious_cox",18,-0.129226497630109,0.00774996482149427,-0.136976462451603
"parsimonious_cox",19,-0.0873109460399152,-0.0342249084293573,-0.0530860376105579
"parsimonious_cox",20,-0.096562223887519,-0.0479617957847861,-0.0486004281027329
"parsimonious_cox",21,-0.197002665941552,-0.0111189211862606,-0.185883744755292
"parsimonious_cox",22,-0.459334554887197,0.0268341973498424,-0.48616875223704
"parsimonious_cox",23,-0.123864799418796,-0.0474936733623282,-0.0763711260564674
"parsimonious_cox",24,-0.118866801734956,0.0175943253076858,-0.136461127042642
"parsimonious_cox",25,-0.184903343648201,0.0560598745183059,-0.240963218166507
"parsimonious_cox",26,-0.367646271594673,-0.0203845776735335,-0.34726169392114
"parsimonious_cox",27,-0.103177593324923,0.026214984386984,-0.129392577711907
"parsimonious_cox",28,-0.203803549839323,0.0332506845974439,-0.237054234436767
"parsimonious_cox",29,-0.0851908369130575,0.0169785778792902,-0.102169414792348
"parsimonious_cox",30,-0.212103927995002,-0.0511722442494377,-0.160931683745564
"parsimonious_cox",31,-0.234630397765662,-0.0111433160673148,-0.223487081698347
"parsimonious_cox",32,-0.160450317672192,-0.0334408163589126,-0.127009501313279
"parsimonious_cox",33,-0.232849657965252,-0.090530196513586,-0.142319461451666
"parsimonious_cox",34,-0.201712667548755,0.0101056452871392,-0.211818312835895
"parsimonious_cox",35,-0.264574994298694,-0.0490071370271005,-0.215567857271594
"parsimonious_cox",36,-0.296907628437615,-0.0461783422179278,-0.250729286219687
"parsimonious_cox",37,-0.226048695045574,0.00824160646174673,-0.23429030150732
"parsimonious_cox",38,-0.347059684730931,-0.0255053497020173,-0.321554335028913
"parsimonious_cox",39,-0.184492034159977,0.0167100169565491,-0.201202051116526
"parsimonious_cox",40,-0.264841760266982,-0.0523259747017307,-0.212515785565251
"parsimonious_cox",41,-0.238324244637039,0.00379609847138208,-0.242120343108421
"parsimonious_cox",42,-0.176828286705287,-0.000543574391736425,-0.176284712313551
"parsimonious_cox",43,-0.334693070610255,-0.0162423013066927,-0.318450769303562
"parsimonious_cox",44,-0.33591337432877,-0.0915407436968227,-0.244372630631947
"parsimonious_cox",45,-0.204507082446176,0.0275769329840269,-0.232084015430203
"parsimonious_cox",46,-0.0602120723615837,0.00387887464845531,-0.064090947010039
"parsimonious_cox",47,-0.165714704545135,0.00445691219500038,-0.170171616740135
"parsimonious_cox",48,-0.167847991191424,0.111696856950427,-0.279544848141851
"parsimonious_cox",49,-0.253516532057759,-0.0101961590834026,-0.243320372974357
"parsimonious_cox",50,-0.104656983305737,0.0157296846477849,-0.120386667953522
"parsimonious_cox",51,-0.11316145997598,-0.0244097852657134,-0.0887516747102666
"parsimonious_cox",52,-0.219451086580396,-0.00437700245961735,-0.215074084120779
"parsimonious_cox",53,-0.207031049818428,0.0120184934737856,-0.219049543292214
"parsimonious_cox",54,-0.284187074059146,-0.0574768597357018,-0.226710214323444
"parsimonious_cox",55,-0.110634654136977,-0.0250268854827667,-0.0856077686542099
"parsimonious_cox",56,-0.326987614316071,-0.0299393561766121,-0.297048258139459
"parsimonious_cox",57,-0.0315408152121527,0.0143681034893793,-0.045908918701532
"parsimonious_cox",58,-0.385949652186074,-0.0290251073300579,-0.356924544856016
"parsimonious_cox",59,-0.0893421846134753,0.0175899081560629,-0.106932092769538
"parsimonious_cox",60,-0.222853754049272,-0.0131078738104376,-0.209745880238834
"parsimonious_cox",61,-0.109216248303374,0.0297231438727156,-0.138939392176089
"parsimonious_cox",62,-0.261950675823719,-0.0461788979873549,-0.215771777836364
"parsimonious_cox",63,-0.289031825179356,0.0339602757753253,-0.322992100954681
"parsimonious_cox",64,-0.134214803669763,0.0243674289535084,-0.158582232623271
